Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,SE_T150_006,SE_T150_007,SE_T150_008
"361136035699999070900","08000US361136035699999070900","Census Tract 709, Remainder of Queensbury town, Queensbury town, Warren County, New York","Census Tract 709, Remainder of Queensbury town, Queensbury town, Warren County, New York","ny","080","00","ACSSF","0009890",,,,,"36","113","60356","99999","3699999","070900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3027,141,855,1001,496,383,151,0,3027,141,2886,2031,1030,534,151,0
"361136035699999072000","08000US361136035699999072000","Census Tract 720 (part), Remainder of Queensbury town, Queensbury town, Warren County, New York","Census Tract 720 (part), Remainder of Queensbury town, Queensbury town, Warren County, New York","ny","080","00","ACSSF","0009891",,,,,"36","113","60356","99999","3699999","072000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"361137164199999073500","08000US361137164199999073500","Census Tract 735 (part), Stony Creek town, Stony Creek town, Warren County, New York","Census Tract 735 (part), Stony Creek town, Stony Creek town, Warren County, New York","ny","080","00","ACSSF","0009892",,,,,"36","113","71641","99999","3699999","073500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,88,282,139,106,47,0,11,673,88,585,303,164,58,11,11
"361137381499999073500","08000US361137381499999073500","Census Tract 735 (part), Thurman town, Thurman town, Warren County, New York","Census Tract 735 (part), Thurman town, Thurman town, Warren County, New York","ny","080","00","ACSSF","0009893",,,,,"36","113","73814","99999","3699999","073500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,172,363,183,93,92,0,3,906,172,734,371,188,95,3,3
"361137830078289073000","08000US361137830078289073000","Census Tract 730 (part), Warrensburg CDP, Warrensburg town, Warren County, New York","Census Tract 730 (part), Warrensburg CDP, Warrensburg town, Warren County, New York","ny","080","00","ACSSF","0009894",,,,,"36","113","78300","78289","3678289","073000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,295,1137,632,125,104,0,11,2304,295,2009,872,240,115,11,11
"361137830099999073000","08000US361137830099999073000","Census Tract 730 (part), Remainder of Warrensburg town, Warrensburg town, Warren County, New York","Census Tract 730 (part), Remainder of Warrensburg town, Warrensburg town, Warren County, New York","ny","080","00","ACSSF","0009895",,,,,"36","113","78300","99999","3699999","073000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,151,280,208,118,19,0,0,776,151,625,345,137,19,0,0
"361150256102550087000","08000US361150256102550087000","Census Tract 870 (part), Argyle village, Argyle town, Washington County, New York","Census Tract 870 (part), Argyle village, Argyle town, Washington County, New York","ny","080","00","ACSSF","0009896",,,,,"36","115","02561","02550","3602550","087000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,26,81,69,40,31,3,1,251,26,225,144,75,35,4,1
"361150256199999087000","08000US361150256199999087000","Census Tract 870 (part), Remainder of Argyle town, Argyle town, Washington County, New York","Census Tract 870 (part), Remainder of Argyle town, Argyle town, Washington County, New York","ny","080","00","ACSSF","0009897",,,,,"36","115","02561","99999","3699999","087000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,324,1269,586,215,193,9,9,2605,324,2281,1012,426,211,18,9
"361151183611825093000","08000US361151183611825093000","Census Tract 930 (part), Cambridge village (part), Cambridge town, Washington County, New York","Census Tract 930 (part), Cambridge village (part), Cambridge town, Washington County, New York","ny","080","00","ACSSF","0009898",,,,,"36","115","11836","11825","3611825","093000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,44,75,64,57,20,17,5,282,44,238,163,99,42,22,5
"361151183699999093000","08000US361151183699999093000","Census Tract 930 (part), Remainder of Cambridge town, Cambridge town, Washington County, New York","Census Tract 930 (part), Remainder of Cambridge town, Cambridge town, Washington County, New York","ny","080","00","ACSSF","0009899",,,,,"36","115","11836","99999","3699999","093000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153,123,327,365,133,170,24,11,1153,123,1030,703,338,205,35,11
"361152088599999082000","08000US361152088599999082000","Census Tract 820 (part), Dresden town, Dresden town, Washington County, New York","Census Tract 820 (part), Dresden town, Dresden town, Washington County, New York","ny","080","00","ACSSF","0009900",,,,,"36","115","20885","99999","3699999","082000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,108,228,153,75,95,0,0,659,108,551,323,170,95,0,0
"361152265630675094000","08000US361152265630675094000","Census Tract 940 (part), Greenwich village (part), Easton town, Washington County, New York","Census Tract 940 (part), Greenwich village (part), Easton town, Washington County, New York","ny","080","00","ACSSF","0009901",,,,,"36","115","22656","30675","3630675","094000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,44,91,90,26,9,0,0,260,44,216,125,35,9,0,0
"361152265699999094000","08000US361152265699999094000","Census Tract 940 (part), Remainder of Easton town, Easton town, Washington County, New York","Census Tract 940 (part), Remainder of Easton town, Easton town, Washington County, New York","ny","080","00","ACSSF","0009902",,,,,"36","115","22656","99999","3699999","094000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481,113,485,470,247,97,58,11,1481,113,1368,883,413,166,69,11
"361152671526704081000","08000US361152671526704081000","Census Tract 810 (part), Fort Ann village, Fort Ann town, Washington County, New York","Census Tract 810 (part), Fort Ann village, Fort Ann town, Washington County, New York","ny","080","00","ACSSF","0009903",,,,,"36","115","26715","26704","3626704","081000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,58,103,58,13,2,0,0,234,58,176,73,15,2,0,0
"361152671599999081000","08000US361152671599999081000","Census Tract 810 (part), Remainder of Fort Ann town, Fort Ann town, Washington County, New York","Census Tract 810 (part), Remainder of Fort Ann town, Fort Ann town, Washington County, New York","ny","080","00","ACSSF","0009904",,,,,"36","115","26715","99999","3699999","081000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4125,1125,1799,857,233,92,19,0,4125,1125,3000,1201,344,111,19,0
"361152678126770088000","08000US361152678126770088000","Census Tract 880 (part), Fort Edward village, Fort Edward town, Washington County, New York","Census Tract 880 (part), Fort Edward village, Fort Edward town, Washington County, New York","ny","080","00","ACSSF","0009905",,,,,"36","115","26781","26770","3626770","088000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,499,824,576,77,30,16,0,2022,499,1523,699,123,46,16,0
"361152678199999088000","08000US361152678199999088000","Census Tract 880 (part), Remainder of Fort Edward town, Fort Edward town, Washington County, New York","Census Tract 880 (part), Remainder of Fort Edward town, Fort Edward town, Washington County, New York","ny","080","00","ACSSF","0009906",,,,,"36","115","26781","99999","3699999","088000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226,282,1212,475,175,82,0,0,2226,282,1944,732,257,82,0,0
"361153003730026084000","08000US361153003730026084000","Census Tract 840 (part), Granville village, Granville town, Washington County, New York","Census Tract 840 (part), Granville village, Granville town, Washington County, New York","ny","080","00","ACSSF","0009907",,,,,"36","115","30037","30026","3630026","084000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758,299,720,479,160,69,25,6,1758,299,1459,739,260,100,31,6
"361153003799999084000","08000US361153003799999084000","Census Tract 840 (part), Remainder of Granville town, Granville town, Washington County, New York","Census Tract 840 (part), Remainder of Granville town, Granville town, Washington County, New York","ny","080","00","ACSSF","0009908",,,,,"36","115","30037","99999","3699999","084000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2852,411,1281,761,236,150,13,0,2852,411,2441,1160,399,163,13,0
