Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"36103","05000US36103","Suffolk County, New York","Suffolk County, New York","ny","050","00","ACSSF","0000064",,,,,"36","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511028,1511028,1656.469,912.198054971683,1511028,745399,765629,1511028,95764,102301,109849,68436,128799,161957,235559,241902,172494,102925,64661,26381,1511028,1269054,109305,3581,50872,331,56196,21689,478858,362602,290791,71811,20798,51013,116256,50162,66094,84530,543628,478858,396766,82092,1481348,79463,138197,217660,1263688
"36105","05000US36105","Sullivan County, New York","Sullivan County, New York","ny","050","00","ACSSF","0000065",,,,,"36","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75924,75924,78.2952,969.714602538699,75924,38765,37159,75924,4527,4411,4959,3647,6379,8123,11266,11896,9969,5952,3413,1382,75924,63422,6467,507,1161,0,2429,1938,29389,19703,14452,5251,1624,3627,9686,4840,4846,48586,48369,29389,20282,9107,72633,10684,14425,25109,47524
"36107","05000US36107","Tioga County, New York","Tioga County, New York","ny","050","00","ACSSF","0000066",,,,,"36","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50367,50367,97.10385,518.692108225984,50367,25067,25300,50367,2830,2873,3916,2429,4213,4921,7018,8638,6207,4043,2533,746,50367,48776,278,82,271,19,59,882,20124,14261,11319,2942,1017,1925,5863,2669,3194,51011,21833,20124,15981,4143,49783,4979,8991,13970,35813
"36109","05000US36109","Tompkins County, New York","Tompkins County, New York","ny","050","00","ACSSF","0000067",,,,,"36","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100583,100583,211.2861,476.051107572699,100583,50242,50341,100583,4426,3866,5060,3453,30148,10146,11207,12486,9684,5014,3221,1872,100583,83817,3556,233,9318,79,1121,2459,37807,19779,16148,3631,1010,2621,18028,8733,9295,46506,40689,37807,20606,17201,88186,17821,13935,31756,56430
"36111","05000US36111","Ulster County, New York","Ulster County, New York","ny","050","00","ACSSF","0000068",,,,,"36","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181510,181510,161.1306,1126.47727479818,181510,90470,91040,181510,9153,9900,11233,7844,17721,20768,26721,29922,23162,13186,8928,2972,181510,160559,10444,504,3002,13,2894,4094,69867,45113,34621,10492,2537,7955,24754,11575,13179,57485,81613,69867,48189,21678,173860,20248,25003,45251,128609
"36113","05000US36113","Warren County, New York","Warren County, New York","ny","050","00","ACSSF","0000069",,,,,"36","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65743,65743,75.62823,869.291761969553,65743,32118,33625,65743,3250,3376,4161,2820,5872,6836,9083,10534,8995,5620,3922,1274,65743,63543,516,279,532,80,343,450,27425,17591,13258,4333,1379,2954,9834,4173,5661,50168,37467,27425,18991,8434,63923,6506,10411,16917,47006
"36115","05000US36115","Washington County, New York","Washington County, New York","ny","050","00","ACSSF","0000070",,,,,"36","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62486,62486,74.79433,835.437730213422,62486,32333,30153,62486,3111,3538,3926,2859,5830,6932,9370,10021,7686,4902,3125,1186,62486,58949,2060,152,335,3,305,682,24400,16456,12888,3568,1110,2458,7944,3382,4562,46886,28395,24400,17962,6438,58454,6972,11450,18422,40032
"36117","05000US36117","Wayne County, New York","Wayne County, New York","ny","050","00","ACSSF","0000071",,,,,"36","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91658,91658,151.698,604.213505236318,91658,45534,46124,91658,5446,5769,6891,4567,7206,8671,14003,15472,11387,6625,4061,1560,91658,85610,3405,305,480,0,779,1079,36048,25621,20111,5510,1553,3957,10427,5123,5304,52351,40126,36048,27726,8322,90028,9882,15501,25383,64645
"36119","05000US36119","Westchester County, New York","Westchester County, New York","ny","050","00","ACSSF","0000072",,,,,"36","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949050,949050,2192.69,432.82441771931,949050,458864,490186,949050,60742,62783,67813,41351,79014,103523,143880,148649,108384,64849,47194,20868,949050,657161,133096,1228,53021,201,86628,17715,338527,231869,176666,55203,13609,41594,106658,43323,63335,79585,360130,338527,213499,125028,925712,73065,104668,177733,747979
"36121","05000US36121","Wyoming County, New York","Wyoming County, New York","ny","050","00","ACSSF","0000073",,,,,"36","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41820,41820,70.53297,592.914166397682,41820,22968,18852,41820,2027,2467,2405,1843,3592,5143,6828,7065,5029,2879,1787,755,41820,38082,2679,116,75,11,567,290,15058,10446,8343,2103,622,1481,4612,2263,2349,48943,17331,15058,11711,3347,37042,3896,7116,11012,26030
"36123","05000US36123","Yates County, New York","Yates County, New York","ny","050","00","ACSSF","0000074",,,,,"36","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24526,24526,72.51147,338.236130823772,24526,11998,12528,24526,1404,1700,1701,1126,2844,2073,2850,3725,3148,2140,1182,633,24526,23896,274,55,100,0,77,124,9112,6162,4907,1255,381,874,2950,1345,1605,44947,12489,9112,6998,2114,22915,2979,5032,8011,14904
